BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_VOCAL_SCREEN,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE
cmbv6_0000,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_1137766,LA_0004,bonafide,RS_ASVspoof_LA_E_1137766,unmixed_dataset/eval/RS_ASVspoof_LA_E_1137766.wav,055773,fma:55773,FMA,unscreened_real_noncausal,RM_055_055773,unmixed_dataset/eval/RM_055_055773.wav,0,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv6_0001,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_4628216,LA_0040,bonafide,RS_ASVspoof_LA_E_4628216,unmixed_dataset/eval/RS_ASVspoof_LA_E_4628216.wav,010883,fma:10883,FMA,unscreened_real_noncausal,RM_010_010883,unmixed_dataset/eval/RM_010_010883.wav,-10,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv6_0002,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_4693677,LA_0007,bonafide,RS_ASVspoof_LA_E_4693677,unmixed_dataset/eval/RS_ASVspoof_LA_E_4693677.wav,045021,fma:45021,FMA,unscreened_real_noncausal,RM_045_045021,unmixed_dataset/eval/RM_045_045021.wav,10,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv6_0003,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_2829186,LA_0027,bonafide,RS_ASVspoof_LA_E_2829186,unmixed_dataset/eval/RS_ASVspoof_LA_E_2829186.wav,059905,fma:59905,FMA,unscreened_real_noncausal,RM_059_059905,unmixed_dataset/eval/RM_059_059905.wav,-5,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv6_0004,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_5318318,LA_0041,bonafide,RS_ASVspoof_LA_E_5318318,unmixed_dataset/eval/RS_ASVspoof_LA_E_5318318.wav,FM_stable_audio_open_50fuQm8B2Yg,fmc:50fuQm8B2Yg,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_50fuQm8B2Yg,unmixed_dataset/eval/FM_stable_audio_open_50fuQm8B2Yg.wav,5,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv6_0005,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_8689459,LA_0013,bonafide,RS_ASVspoof_LA_E_8689459,unmixed_dataset/eval/RS_ASVspoof_LA_E_8689459.wav,FM_stable_audio_open_90NsBZvepy0,fmc:90NsBZvepy0,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_90NsBZvepy0,unmixed_dataset/eval/FM_stable_audio_open_90NsBZvepy0.wav,5,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv6_0006,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_3802678,LA_0026,bonafide,RS_ASVspoof_LA_E_3802678,unmixed_dataset/eval/RS_ASVspoof_LA_E_3802678.wav,FM_stable_audio_open_sGM6xX5laFU,fmc:sGM6xX5laFU,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_sGM6xX5laFU,unmixed_dataset/eval/FM_stable_audio_open_sGM6xX5laFU.wav,5,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv6_0007,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_3273664,LA_0057,bonafide,RS_ASVspoof_LA_E_3273664,unmixed_dataset/eval/RS_ASVspoof_LA_E_3273664.wav,FM_stable_audio_open_-eDAoheZrY8,fmc:-eDAoheZrY8,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_-eDAoheZrY8,unmixed_dataset/eval/FM_stable_audio_open_-eDAoheZrY8.wav,-10,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv6_0008,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,LA_E_5637091,LA_0009,A18,FS_ASVspoof_LA_E_5637091,unmixed_dataset/eval/FS_ASVspoof_LA_E_5637091.wav,066813,fma:66813,FMA,unscreened_real_noncausal,RM_066_066813,unmixed_dataset/eval/RM_066_066813.wav,5,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv6_0009,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,LA_E_2433246,LA_0015,A07,FS_ASVspoof_LA_E_2433246,unmixed_dataset/eval/FS_ASVspoof_LA_E_2433246.wav,107953,fma:107953,FMA,unscreened_real_noncausal,RM_107_107953,unmixed_dataset/eval/RM_107_107953.wav,10,1.0,voice_first,0.0,MixFake_official_eval,strict
