BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_VOCAL_SCREEN,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE
cmbv5_0000,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_3800397,LA_0051,bonafide,RS_ASVspoof_LA_E_3800397,unmixed_dataset/eval/RS_ASVspoof_LA_E_3800397.wav,039316,fma:39316,FMA,unscreened_real_noncausal,RM_039_039316,unmixed_dataset/eval/RM_039_039316.wav,0,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0001,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_4441161,LA_0050,bonafide,RS_ASVspoof_LA_E_4441161,unmixed_dataset/eval/RS_ASVspoof_LA_E_4441161.wav,030690,fma:30690,FMA,unscreened_real_noncausal,RM_030_030690,unmixed_dataset/eval/RM_030_030690.wav,5,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0002,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_2394889,LA_0041,bonafide,RS_ASVspoof_LA_E_2394889,unmixed_dataset/eval/RS_ASVspoof_LA_E_2394889.wav,056652,fma:56652,FMA,unscreened_real_noncausal,RM_056_056652,unmixed_dataset/eval/RM_056_056652.wav,0,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0003,0,0,0,1,1,mixed,concurrent,RR,concurrent__RR,LA_E_9585160,LA_0009,bonafide,RS_ASVspoof_LA_E_9585160,unmixed_dataset/eval/RS_ASVspoof_LA_E_9585160.wav,010698,fma:10698,FMA,unscreened_real_noncausal,RM_010_010698,unmixed_dataset/eval/RM_010_010698.wav,5,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv5_0004,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_1144268,LA_0068,bonafide,RS_ASVspoof_LA_E_1144268,unmixed_dataset/eval/RS_ASVspoof_LA_E_1144268.wav,FM_audioldm2_lDABsoatahM,fmc:lDABsoatahM,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_lDABsoatahM,unmixed_dataset/eval/FM_audioldm2_lDABsoatahM.wav,5,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv5_0005,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_8990213,LA_0003,bonafide,RS_ASVspoof_LA_E_8990213,unmixed_dataset/eval/RS_ASVspoof_LA_E_8990213.wav,FM_audioldm2_aq3vov8-fw8,fmc:aq3vov8-fw8,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_aq3vov8-fw8,unmixed_dataset/eval/FM_audioldm2_aq3vov8-fw8.wav,5,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0006,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_4210108,LA_0049,bonafide,RS_ASVspoof_LA_E_4210108,unmixed_dataset/eval/RS_ASVspoof_LA_E_4210108.wav,FM_audioldm2_KUE_I30--AY,fmc:KUE_I30--AY,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_KUE_I30--AY,unmixed_dataset/eval/FM_audioldm2_KUE_I30--AY.wav,10,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0007,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,LA_E_1393272,LA_0004,bonafide,RS_ASVspoof_LA_E_1393272,unmixed_dataset/eval/RS_ASVspoof_LA_E_1393272.wav,FM_audioldm2_grisjVTZeTk,fmc:grisjVTZeTk,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_grisjVTZeTk,unmixed_dataset/eval/FM_audioldm2_grisjVTZeTk.wav,-10,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0008,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,LA_E_5140452,LA_0009,A10,FS_ASVspoof_LA_E_5140452,unmixed_dataset/eval/FS_ASVspoof_LA_E_5140452.wav,026765,fma:26765,FMA,unscreened_real_noncausal,RM_026_026765,unmixed_dataset/eval/RM_026_026765.wav,10,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv5_0009,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,LA_E_3921322,LA_0026,A11,FS_ASVspoof_LA_E_3921322,unmixed_dataset/eval/FS_ASVspoof_LA_E_3921322.wav,148626,fma:148626,FMA,unscreened_real_noncausal,RM_148_148626,unmixed_dataset/eval/RM_148_148626.wav,10,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv5_0010,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,LA_E_2454619,LA_0035,A17,FS_ASVspoof_LA_E_2454619,unmixed_dataset/eval/FS_ASVspoof_LA_E_2454619.wav,091086,fma:91086,FMA,unscreened_real_noncausal,RM_091_091086,unmixed_dataset/eval/RM_091_091086.wav,0,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0011,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,LA_E_3375650,LA_0035,A12,FS_ASVspoof_LA_E_3375650,unmixed_dataset/eval/FS_ASVspoof_LA_E_3375650.wav,123003,fma:123003,FMA,unscreened_real_noncausal,RM_123_123003,unmixed_dataset/eval/RM_123_123003.wav,-5,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv5_0012,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,LA_E_8169725,LA_0009,A14,FS_ASVspoof_LA_E_8169725,unmixed_dataset/eval/FS_ASVspoof_LA_E_8169725.wav,FM_audioldm2_nxdHojfss_A,fmc:nxdHojfss_A,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_nxdHojfss_A,unmixed_dataset/eval/FM_audioldm2_nxdHojfss_A.wav,-10,1.0,music_first,0.0,MixFake_official_eval,strict
cmbv5_0013,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,LA_E_9205858,LA_0025,A07,FS_ASVspoof_LA_E_9205858,unmixed_dataset/eval/FS_ASVspoof_LA_E_9205858.wav,FM_audioldm2_5a_Qxd4ECTo,fmc:5a_Qxd4ECTo,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_5a_Qxd4ECTo,unmixed_dataset/eval/FM_audioldm2_5a_Qxd4ECTo.wav,5,1.0,voice_first,0.0,MixFake_official_eval,strict
cmbv5_0014,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,LA_E_8084643,LA_0038,A13,FS_ASVspoof_LA_E_8084643,unmixed_dataset/eval/FS_ASVspoof_LA_E_8084643.wav,FM_audioldm2_9gkppwB5CXA,fmc:9gkppwB5CXA,audioldm2,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_audioldm2_9gkppwB5CXA,unmixed_dataset/eval/FM_audioldm2_9gkppwB5CXA.wav,0,1.0,voice_first,0.0,MixFake_official_eval,strict
